time,open,high,low,close,PlotCandle (Цена откр.),PlotCandle (Макс.,PlotCandle (Мин.),PlotCandle (Закрыть),Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes
1772731800,70894.8,70988,70682,70825.5,70894.8,70988,70682,70825.5,71167.56280574664,,,,,,,74209.87191193,73103.62252197476,71997.37313201952,71192.82812114299,70388.28311026645,69282.03372031121,68175.78433035598,0,0,0,0,,
1772732700,70825.5,70900,70612.8,70668.5,70825.5,70900,70612.8,70668.5,71069.51924651496,,,,,,,74116.1614681586,73007.97454626657,71899.78762437456,71093.83349936217,70287.87937434978,69179.69245245776,68071.50553056573,0,0,0,0,,
1772733600,70668.5,71020,70622.1,70992.6,70668.5,71020,70622.1,70992.6,71031.62617773032,,,,,,,74078.66877244768,72969.36840484227,71860.06803723687,71053.30413352385,70246.54022981084,69137.23986220543,68027.93949460002,0,0,0,0,,
1772734500,70992.6,71039.1,70743.4,70783.2,70992.6,71039.1,70743.4,70783.2,70975.06603204917,,,,,,,74019.86599000014,72910.7126073786,71801.55922475709,70994.90221921416,70188.24521367122,69079.0918310497,67969.93844842818,0,0,0,0,,
1772735400,70783.1,71052.5,70765.5,70914.1,70783.1,71052.5,70765.5,70914.1,70947.7900962841,,,,,,,73986.72217581052,72878.81616016274,71770.91014451497,70965.16031495295,70159.41048539094,69051.50446974317,67943.5984540954,0,0,0,0,,
1772736300,70914.1,70993.4,70780.8,70962.8,70914.1,70993.4,70780.8,70962.8,70936.35592981458,,,,,,,73965.44297410271,72860.16434175629,71754.88570940985,70951.04670406699,70147.20769872413,69041.92906637769,67936.65043403127,0,0,0,0,,
1772737200,70962.9,71444.8,70952.8,71328.5,70962.9,71444.8,70952.8,71328.5,70984.91243093651,,,70952.8,,,,74004.32546485847,72901.04420117733,71797.76293749618,70995.3765639099,70192.99019032362,69089.70892664247,67986.42766296133,0,0,0,0,,
1772738100,71328.4,71414.6,71021.2,71073.2,71328.4,71414.6,71021.2,71073.2,70999.92672636027,,,,,,,74011.26223350386,72909.85599743904,71808.44976137423,71007.42704423619,70206.40432709815,69104.99809103334,68003.59185496852,0,0,0,0,,
1772739000,71073.2,71141.9,70900.5,70975.8,71073.2,71141.9,70900.5,70975.8,71001.36441833513,,,,,,,74003.18189091855,72904.43352622396,71805.68516152937,71006.59544175149,70207.5057219736,69108.75735727901,68010.00899258442,0,0,0,0,,
1772739900,70975.8,71101.3,70836,70875.5,70975.8,71101.3,70836,70875.5,70987.4103640247,,,,,,,73979.00172818387,72883.46790341346,71787.93407864304,70991.18220608274,70194.43033352244,69098.89650875202,68003.36268398161,0,0,0,0,,
1772740800,70875.5,71085.8,70805.9,71068.1,70875.5,71085.8,70805.9,71068.1,71000.5163052942,,,,71085.8,,,73980.3913030353,72888.4650858694,71796.53886870347,71002.41071076463,70208.28255282578,69116.35633565986,68024.43011849395,0,0,0,0,,
1772741700,71068.2,71322.1,71041.8,71152.9,71068.2,71322.1,71041.8,71152.9,71024.96790515844,,,,,,,73992.3147026211,72904.31989141044,71816.3250801998,71025.05612659206,70233.78717298432,69145.79236177367,68057.79755056302,0,0,0,0,,
1772742600,71153,71360.9,71089.2,71132.3,71153,71360.9,71089.2,71132.3,71044.8812609144,,,71089.2,,,,73999.36607132427,72915.61767363234,71831.86927594041,71043.68862307354,70255.50797020667,69171.75957251474,68088.01117482281,0,0,0,0,,
1772743500,71132.4,71328.4,71006.1,71206.2,71132.4,71328.4,71006.1,71206.2,71073.50909268844,,,,,,,74015.39385776408,72935.81606522223,71856.23827268036,71071.09078719538,70285.9433017104,69206.36550916854,68126.78771662668,0,0,0,0,,
1772744400,71205.8,71322,71194.1,71264.9,71205.8,71322,71194.1,71264.9,71108.15618541735,,,,,,,74034.41626464696,72960.14307926432,71885.8698938817,71104.5803045125,70323.29071514332,69249.01752976069,68174.74434437805,0,0,0,0,,
1772745300,71265,71511.1,71258.7,71477.6,71265,71511.1,71258.7,71477.6,71170.57206734267,,,,,,,74079.8818124249,73011.16509476554,71942.44837710621,71165.19985517215,70387.95133323809,69319.23461557875,68250.5178979194,0,0,0,0,,
1772746200,71477.5,71530.4,71063.7,71158,71477.5,71530.4,71063.7,71158,71182.01367751384,,,,,71530.4,,74079.32707273007,73014.95330473108,71950.57953673208,71176.48952364191,70402.39951055174,69338.02574255274,68273.65197455375,0,0,0,0,,
1772747100,71157.9,71298.3,70974.5,71099.7,71157.9,71298.3,70974.5,71099.7,71179.977382033,,,,71298.3,,,74066.69481791159,73006.35591154323,71946.01700517487,71174.86143690697,70403.70586863907,69343.36696227071,68283.02805590235,0,0,0,0,,
1772748000,71099.6,71222.7,71059.6,71131.8,71099.6,71222.7,71059.6,71131.8,71178.54783828932,,,,,,,74052.77641343165,72997.21044790067,71941.6444823697,71173.9601438017,70406.2758052337,69350.70983970273,68295.14387417174,0,0,0,0,,
1772748900,71131.8,71257.7,71022.1,71116.9,71131.8,71257.7,71022.1,71116.9,71172.09929467522,,,,,,,74033.40136069017,72982.86421817837,71932.32707566656,71168.30006293069,70404.27305019482,69353.73590768302,68303.19876517121,0,0,0,0,,
